City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hasaki,75,JP,1567630470,94,35.73,140.83,73.4,5.82
Ishigaki,100,JP,1567630504,79,24.34,124.16,82.49,35.93
Bambous Virieux,75,MU,1567630461,88,-20.34,57.76,72.0,10.67
Qasigiannguit,75,GL,1567630444,75,68.82,-51.19,42.8,3.36
Ushuaia,0,AR,1567630353,56,-54.81,-68.31,42.8,19.46
Les Cayes,1,HT,1567630504,76,18.19,-73.75,84.83,15.68
Kodiak,1,US,1567630444,44,39.95,-94.76,80.6,5.82
Saint-Joseph,0,FR,1567630504,73,43.56,6.97,77.0,3.36
Esperance,75,AU,1567630425,100,-33.86,121.89,42.8,11.41
Hilo,90,US,1567630445,78,19.71,-155.08,81.0,5.82
Antofagasta,20,CL,1567630504,67,-23.65,-70.4,60.8,11.41
Dikson,100,RU,1567630458,98,73.51,80.55,43.43,16.69
Coihaique,0,CL,1567630505,36,-45.58,-72.07,50.0,14.99
Sitka,0,US,1567630440,31,37.17,-99.65,93.99,13.0
Nikolskoye,0,RU,1567630431,72,59.7,30.79,60.8,11.18
Itarema,34,BR,1567630505,73,-2.92,-39.92,77.45,12.53
Rikitea,100,PF,1567630433,73,-23.12,-134.97,73.31,4.43
Cidreira,0,BR,1567630448,54,-30.17,-50.22,52.07,8.86
Bethel,90,US,1567630323,87,60.79,-161.76,53.6,18.34
Albany,90,US,1567630282,78,42.65,-73.75,81.0,5.82
Pevek,0,RU,1567630452,79,69.7,170.27,39.29,6.08
Atuona,52,PF,1567630426,75,-9.8,-139.03,78.89,11.63
Atambua,52,ID,1567630505,77,-9.11,124.89,74.39,9.69
Cabo San Lucas,20,MX,1567630333,49,22.89,-109.91,96.01,11.41
Sorland,75,NO,1567630440,93,67.67,12.69,48.2,5.82
Moree,0,AU,1567630506,27,-29.46,149.84,53.6,9.17
Avarua,90,CK,1567630437,64,-21.21,-159.78,75.2,19.46
Tiksi,97,RU,1567630453,92,71.64,128.87,41.81,10.4
Port Alfred,100,ZA,1567630436,94,-33.59,26.89,57.0,3.06
Arlit,73,NE,1567630432,16,18.74,7.39,102.29,7.34
Castro,0,CL,1567630357,34,-42.48,-73.76,51.8,9.17
Faanui,27,PF,1567630433,81,-16.48,-151.75,77.99,21.32
East London,100,ZA,1567630484,88,-33.02,27.91,56.21,3.89
Cape Town,0,ZA,1567630298,67,-33.93,18.42,60.01,17.22
Kapaa,40,US,1567630429,66,22.08,-159.32,86.0,11.41
Saskylakh,98,RU,1567630423,85,71.97,114.09,31.37,11.45
Deputatskiy,90,RU,1567630506,85,69.3,139.9,38.21,2.51
Khatanga,100,RU,1567630487,63,71.98,102.47,34.79,5.73
Husavik,67,CA,1567630449,37,50.56,-96.99,75.99,5.99
Mataura,100,NZ,1567630430,97,-46.19,168.86,46.99,4.83
Saint-Philippe,90,CA,1567630444,60,45.36,-73.48,73.99,11.41
San Diego de los Banos,55,CU,1567630507,74,22.65,-83.37,85.37,8.23
Mitu,0,IR,1567630507,44,36.2,46.09,57.29,2.37
Rio Gallegos,20,AR,1567630477,49,-51.62,-69.22,46.4,5.82
Saint George,20,GR,1567630488,44,39.45,22.34,75.2,1.5
Lexington Park,1,US,1567630507,55,38.26,-76.45,93.99,11.41
Kavaratti,100,IN,1567630508,80,10.57,72.64,82.49,17.9
Saldanha,2,PT,1567630444,42,41.42,-6.55,73.13,6.96
Mehamn,0,NO,1567630433,62,71.03,27.85,53.6,18.34
Qaanaaq,30,GL,1567630431,49,77.48,-69.36,33.71,4.52
Punta Arenas,0,CL,1567630422,74,-53.16,-70.91,42.8,4.7
Georgetown,40,GY,1567630422,66,6.8,-58.16,87.8,9.17
Sao Filipe,51,CV,1567630469,85,14.9,-24.5,80.87,13.76
Namatanai,87,PG,1567630480,87,-3.66,152.44,76.73,12.84
Mungaoli,100,IN,1567630508,79,24.41,78.09,79.79,3.31
Ketchikan,75,US,1567630232,82,55.34,-131.65,60.8,3.36
Namibe,71,AO,1567630445,83,-15.19,12.15,64.31,5.55
Bredasdorp,41,ZA,1567630427,87,-34.53,20.04,52.0,1.12
Kanye,0,BW,1567630509,22,-24.98,25.34,62.87,8.19
Sur,62,OM,1567630481,58,22.57,59.53,83.03,11.16
Ponta do Sol,26,BR,1567630424,33,-20.63,-46.0,79.25,2.55
New Norfolk,40,AU,1567630425,70,-42.78,147.06,45.0,8.05
Butaritari,93,KI,1567630430,73,3.07,172.79,82.85,3.0
Busselton,26,AU,1567630430,68,-33.64,115.35,36.0,10.16
Ilulissat,75,GL,1567630427,75,69.22,-51.1,42.8,3.36
Camopi,68,GF,1567630509,55,3.17,-52.33,86.99,3.2
Atar,70,MR,1567630509,20,20.52,-13.05,101.03,8.05
Redmond,20,US,1567630448,60,47.67,-122.12,73.99,6.93
Independence,1,US,1567630509,50,39.09,-94.42,84.2,5.06
Acapulco,20,MX,1567630433,70,16.86,-99.88,87.8,5.82
Vaini,100,IN,1567630428,92,15.34,74.49,75.29,5.99
Whitehorse,20,CA,1567630261,47,60.72,-135.06,61.0,2.24
Kendari,100,ID,1567630510,96,-3.99,122.52,68.45,2.37
Mabaruma,100,GY,1567630510,90,8.2,-59.78,81.41,4.18
Daugavpils,0,LV,1567630510,97,55.88,26.53,54.05,4.32
Batagay-Alyta,97,RU,1567630510,90,67.8,130.41,31.91,5.17
Mahajanga,20,MG,1567630459,83,-15.72,46.32,71.6,1.12
Hobart,40,AU,1567630354,70,-42.88,147.33,45.0,8.05
Arraial do Cabo,75,BR,1567630426,94,-22.97,-42.02,71.6,9.17
Bluff,29,AU,1567630440,29,-23.58,149.07,65.21,5.06
Thompson,20,CA,1567630364,43,55.74,-97.86,55.4,3.36
Kangaba,34,ML,1567630511,88,11.94,-8.41,74.75,4.61
Kaitangata,100,NZ,1567630447,72,-46.28,169.85,51.01,8.01
Jamestown,0,AU,1567630450,70,-33.21,138.6,50.81,0.36
Chuy,32,UY,1567630456,67,-33.69,-53.46,45.77,14.97
Namwala,0,ZM,1567630511,38,-15.75,26.45,63.05,2.84
Bodmin,40,GB,1567630478,71,50.47,-4.72,60.01,18.34
Benghazi,6,LY,1567630511,72,32.12,20.07,79.61,9.98
Hermanus,65,ZA,1567630457,92,-34.42,19.24,57.99,1.01
Upernavik,79,GL,1567630463,90,72.79,-56.15,42.89,20.13
Bejar,91,AL,1567630512,70,40.49,19.83,75.29,4.7
Argelia,40,CO,1567630512,58,4.73,-76.12,82.4,5.82
Souillac,75,FR,1567630435,82,45.6,-0.6,66.0,12.75
Flin Flon,75,CA,1567630512,93,54.77,-101.88,51.8,4.7
Daphne,40,US,1567630247,41,30.6,-87.9,98.6,9.17
Carahue,100,CL,1567630512,61,-38.71,-73.16,54.59,14.18
Bilibino,0,RU,1567630512,44,68.06,166.44,42.35,2.33
Saint Anthony,1,US,1567630512,22,43.97,-111.68,91.0,10.29
Comodoro Rivadavia,0,AR,1567630513,48,-45.87,-67.48,42.8,9.17
Dingle,100,PH,1567630513,82,11.0,122.67,72.95,2.89
Rocha,53,UY,1567630513,75,-34.48,-54.34,41.63,8.32
Fairlie,1,US,1567630513,27,33.31,-95.96,98.6,8.05
Tasiilaq,75,GL,1567630513,65,65.61,-37.64,44.6,19.46
Yellowknife,20,CA,1567630384,47,62.45,-114.38,59.0,17.22
Torbay,90,CA,1567630428,93,47.66,-52.73,66.99,10.29
Kisanga,0,CD,1567630514,45,-11.72,27.4,62.15,3.29
Riyadh,0,SA,1567630364,21,24.63,46.72,93.2,3.36
Samarai,100,PG,1567630514,73,-10.62,150.67,69.71,6.46
Bahia Honda,13,CU,1567630514,74,22.9,-83.16,85.19,11.07
Hithadhoo,10,MV,1567630423,80,-0.6,73.08,82.67,15.82
Chokurdakh,10,RU,1567630437,63,70.62,147.9,41.99,8.25
Baft,0,IR,1567630514,38,29.23,56.61,60.35,5.5
Geraldton,40,CA,1567630250,44,49.72,-86.95,59.0,13.87
Provideniya,90,RU,1567630431,87,64.42,-173.23,48.2,6.71
Ixtapa,40,MX,1567630514,63,20.71,-105.21,91.4,13.87
Carnarvon,65,ZA,1567630443,31,-30.97,22.13,54.95,15.99
College,75,US,1567630439,82,64.86,-147.8,59.0,3.36
Borogontsy,44,RU,1567630515,82,62.67,131.17,36.77,5.99
Aswan,0,EG,1567630515,22,24.09,32.9,89.6,5.82
Ostrovnoy,100,RU,1567630428,83,68.05,39.51,51.17,13.29
Porto Walter,91,BR,1567630469,48,-8.27,-72.74,90.23,2.21
Longyearbyen,0,NO,1567630469,80,78.22,15.63,30.2,6.93
Saint-Pierre,20,FR,1567630515,82,48.95,4.24,64.4,8.05
Bathsheba,20,BB,1567630283,70,13.22,-59.52,86.0,13.87
Nanortalik,0,GL,1567630515,75,60.14,-45.24,42.71,9.98
Baru,1,AF,1567630516,62,34.26,70.64,87.8,1.07
Sabha,0,LY,1567630208,30,27.03,14.43,83.21,10.65
Pilar,0,AR,1567630516,32,-34.46,-58.91,55.99,6.93
Sergach,38,RU,1567630516,74,55.53,45.48,51.17,2.59
Eureka,20,US,1567630394,72,40.8,-124.16,72.0,14.99
Coquimbo,90,CL,1567630468,81,-29.95,-71.34,53.6,10.29
Hermiston,1,US,1567630434,28,45.84,-119.29,86.0,5.82
Aasiaat,74,GL,1567630452,78,68.71,-52.87,40.55,8.46
Dalvik,75,SE,1567630516,87,57.79,14.13,59.0,11.41
Kichera,64,RU,1567630477,90,55.93,110.1,46.49,0.36
Pinotepa de Don Luis,0,MX,1567630517,53,16.43,-97.98,88.25,7.34
Oktyabrskoye,0,RU,1567630517,93,56.73,85.44,44.6,1.57
Along,100,IN,1567630517,96,28.17,94.8,59.45,1.81
Severo-Kurilsk,42,RU,1567630429,94,50.68,156.12,49.91,18.68
Cartagena,0,ES,1567630517,73,37.63,-1.0,80.01,5.82
Bijie,100,CN,1567630517,98,27.3,105.3,62.15,2.37
Surgana,100,IN,1567630517,97,20.56,73.64,73.13,5.61
Hope,20,US,1567630518,34,33.67,-93.59,96.01,12.75
Khuzdar,31,PK,1567630518,54,27.8,66.62,77.09,1.77
Christchurch,100,NZ,1567630518,93,-43.53,172.64,51.01,13.87
Casablanca,75,MA,1567630518,94,33.6,-7.62,73.4,8.05
Abonnema,77,NG,1567630518,87,4.71,6.79,77.27,7.31
Peniche,0,PT,1567630518,88,39.36,-9.38,66.99,3.36
Hazorasp,0,UZ,1567630518,77,41.32,61.08,60.8,9.17
Aripuana,96,BR,1567630271,35,-9.17,-60.63,93.47,2.33
Ribeira Grande,20,PT,1567630431,73,38.52,-28.7,73.4,13.87
Aksarka,37,RU,1567630519,91,66.56,67.8,47.75,5.53
Klaksvik,1,FO,1567630457,75,62.23,-6.59,44.6,10.29
Pasni,40,PK,1567630519,88,25.26,63.48,79.97,4.29
Ventspils,75,LV,1567630519,87,57.39,21.56,55.4,3.36
Lasa,20,CY,1567630441,78,34.92,32.53,78.8,4.7
Ingham,64,AU,1567630520,33,-18.65,146.16,55.67,2.68
Atbasar,100,KZ,1567630520,65,51.81,68.36,50.63,13.42
Burnie,0,AU,1567630520,94,-41.05,145.91,35.87,2.95
Nouadhibou,0,MR,1567630445,73,20.93,-17.03,75.2,17.22
Tecoanapa,20,MX,1567630472,70,16.99,-99.26,87.8,5.82
Tuktoyaktuk,75,CA,1567630423,81,69.44,-133.03,50.0,9.17
Muravlenko,89,RU,1567630520,92,63.79,74.5,45.59,2.28
Atherton,0,AU,1567630520,81,-17.27,145.48,55.0,4.7
Necochea,54,AR,1567630442,66,-38.55,-58.74,45.0,7.0
Port Hedland,0,AU,1567630521,93,-20.31,118.58,64.4,8.05
Lebu,75,ET,1567630448,87,8.96,38.73,60.8,2.24
Amahai,99,ID,1567630521,89,-3.31,129.0,74.93,9.57
Bereda,90,ES,1567630521,88,43.27,-7.54,64.0,9.17
Smidovich,22,RU,1567630521,98,48.6,133.81,62.87,6.67
Barrow,99,AR,1567630426,63,-38.31,-60.23,42.53,7.99
Kazlu Ruda,90,LT,1567630521,93,54.77,23.5,53.6,1.12
Katsuura,75,JP,1567630454,94,33.93,134.5,77.0,11.41
Tuatapere,100,NZ,1567630422,97,-46.13,167.69,46.99,7.31
Lenoir City,1,US,1567630522,41,35.8,-84.26,96.01,5.82
Ardesen,20,TR,1567630426,88,41.19,40.99,69.8,6.93
Nhulunbuy,90,AU,1567630424,78,-12.18,136.78,71.6,3.36
Banjar,41,ID,1567630522,94,-7.37,108.54,66.47,1.59
Adrar,0,DZ,1567630443,19,27.87,-0.29,95.0,5.82
Bahar,0,IR,1567630522,37,34.91,48.44,68.0,6.93
Muros,75,ES,1567630483,87,42.77,-9.06,70.0,13.87
Feijo,40,EC,1567630522,69,-3.63,-79.92,89.6,3.36
Aklavik,90,CA,1567630522,93,68.22,-135.01,51.8,6.93
Hadejia,98,NG,1567630523,44,12.45,10.04,87.35,7.81
Kashan,0,IR,1567630523,18,33.99,51.44,84.2,1.12
Dubbo,0,AU,1567630523,73,-32.25,148.6,48.2,13.87
San Patricio,66,PY,1567630523,62,-26.98,-56.83,60.89,9.35
Mount Gambier,75,AU,1567630427,100,-37.83,140.78,42.8,13.76
Gunjur,75,GM,1567630466,94,13.18,-16.76,78.8,2.24
Mogadishu,20,SO,1567630432,74,2.04,45.34,78.8,16.11
Sahy,100,UA,1567630523,75,46.6,32.79,64.13,11.7
Mecca,89,SA,1567630524,59,21.43,39.83,84.47,5.26
Chippewa Falls,1,US,1567630524,52,44.94,-91.39,66.99,3.36
Nichinan,100,JP,1567630524,94,31.65,131.31,75.0,5.01
Tilichiki,99,RU,1567630423,64,60.47,166.1,47.75,2.93
Balabac,53,PH,1567630524,72,7.99,117.06,80.15,2.8
Havelock,90,US,1567630269,83,34.88,-76.9,84.0,10.29
Bitung,20,ID,1567630524,88,1.44,125.19,71.6,2.66
Orimattila,20,FI,1567630524,93,60.8,25.73,55.4,6.93
Karangasem,9,ID,1567630524,82,-6.7,108.49,68.09,4.72
Agirish,0,RU,1567630525,96,61.92,63.02,45.23,1.43
Arnedo,20,ES,1567630525,63,42.23,-2.1,66.2,11.41
Puerto Ayora,20,EC,1567630354,65,-0.74,-90.35,78.8,20.8
Mahebourg,75,MU,1567630451,88,-20.41,57.7,72.0,10.67
Canberra,0,AU,1567630346,78,-35.3,149.1,44.01,4.7
Paita,0,PE,1567630525,290,-5.09,-81.11,62.6,13.87
Cayenne,0,GF,1567630439,66,4.94,-52.33,86.0,12.75
Roald,75,NO,1567630525,76,62.58,6.12,53.6,18.34
Nara,75,JP,1567630525,94,34.68,135.8,77.0,2.24
Ahipara,51,NZ,1567630481,100,-35.17,173.16,57.99,21.34
Sioux Lookout,75,CA,1567630438,52,50.1,-91.92,64.4,11.41
Srednekolymsk,7,RU,1567630526,55,67.46,153.71,47.75,9.69
Presidente Medici,83,BR,1567630526,20,-11.18,-61.9,100.85,6.15
Los Llanos de Aridane,18,ES,1567630462,64,28.66,-17.92,73.4,8.05
Hovd,75,NO,1567630434,76,63.83,10.7,55.0,5.82
Bandarbeyla,0,SO,1567630486,76,9.49,50.81,76.19,27.56
Pontianak,33,ID,1567630526,77,-0.02,109.34,79.43,12.15
Clyde River,75,CA,1567630434,70,70.47,-68.59,44.6,9.17
Caravelas,0,BR,1567630526,82,-17.73,-39.27,73.85,11.3
Porto Novo,75,BR,1567630527,72,-23.68,-45.44,66.2,9.17
Ola,100,RU,1567630527,94,59.58,151.3,52.97,13.42
Paracatu,0,BR,1567630527,17,-17.22,-46.87,84.11,6.11
Fukuma,88,JP,1567630527,94,33.77,130.47,78.8,6.93
Talnakh,75,RU,1567630427,93,69.49,88.39,46.4,6.71
Buchanan,75,LR,1567630527,94,5.88,-10.05,77.0,9.93
Victoria,75,BN,1567630305,88,5.28,115.24,78.8,3.87
Taltal,0,CL,1567630527,61,-25.41,-70.49,58.73,5.86
Gravdal,75,NO,1567630528,76,59.79,5.78,55.4,16.11
Wairoa,93,NZ,1567630528,86,-39.04,177.43,62.01,1.99
Acari,61,BR,1567630528,47,-6.44,-36.64,86.09,19.75
Iquique,40,CL,1567630528,68,-20.22,-70.14,64.4,17.22
Huarmey,0,PE,1567630528,89,-10.07,-78.15,61.25,10.65
Sorong,100,ID,1567630528,95,-0.86,131.25,73.13,6.24
Sabang,100,PH,1567630529,75,13.8,121.11,79.0,3.24
Khandyga,0,RU,1567630424,87,62.65,135.58,37.85,0.92
Kragero,75,NO,1567630529,100,58.87,9.41,59.0,5.82
Seoul,75,KR,1567630326,106,37.57,126.98,73.4,1.12
Catuday,99,PH,1567630529,79,16.29,119.81,83.57,26.15
Port Lincoln,0,AU,1567630432,67,-34.72,135.86,57.11,21.72
Sinnamary,100,GF,1567630529,79,5.38,-52.96,82.13,20.67
Port Elizabeth,1,US,1567630426,46,39.31,-74.98,93.0,9.17
Codrington,0,AU,1567630437,93,-28.95,153.24,46.4,9.17
Alberton,0,ZA,1567630529,35,-26.25,28.13,57.2,2.48
Mildura,37,AU,1567630530,58,-34.18,142.16,55.4,5.82
Gotsu,100,JP,1567630530,79,35.01,132.22,78.53,5.91
Phalodi,37,IN,1567630530,52,27.13,72.36,92.39,7.4
Hailar,95,CN,1567630530,96,49.2,119.7,58.73,7.92
Ashington,75,GB,1567630530,87,55.18,-1.57,53.01,19.46
Port Hardy,20,CA,1567630467,77,50.7,-127.42,60.8,5.82
Pisco,0,PE,1567630429,30,-13.71,-76.2,71.6,6.93
Wanning,0,AT,1567630530,77,48.64,13.53,61.0,2.24
Nome,75,US,1567630455,41,30.04,-94.42,97.0,8.05
Aksu,0,KZ,1567630432,66,52.04,76.93,51.8,6.71
Luderitz,34,NA,1567630425,63,-26.65,15.16,62.6,21.92
Vila do Maio,20,CV,1567630436,74,15.13,-23.22,82.4,11.41
Leningradskiy,100,RU,1567630449,91,69.38,178.42,37.85,11.18
Bijar,0,IR,1567630531,75,35.87,47.6,55.13,3.83
Camocim,17,BR,1567630439,65,-2.9,-40.84,81.41,12.33
Vestmannaeyjar,100,IS,1567630470,90,63.44,-20.27,51.71,14.38
Kurilsk,0,RU,1567630531,79,45.23,147.88,61.25,11.03
Petatlan,75,MX,1567630361,62,17.52,-101.27,87.8,11.41
Awbari,0,LY,1567630531,27,26.59,12.77,83.03,9.04
Emerald,0,AU,1567630532,50,-23.53,148.16,57.0,4.7
Arkadelphia,20,US,1567630532,27,34.12,-93.05,98.6,4.74
Luwuk,63,ID,1567630532,97,-0.95,122.79,58.37,3.58
Nelson Bay,33,AU,1567630280,76,-32.72,152.14,62.01,4.7
Jinchang,89,CN,1567630532,44,38.52,102.19,63.23,0.78
Kabala,100,SL,1567630532,98,9.59,-11.55,72.77,1.07
Iqaluit,75,CA,1567630423,70,63.75,-68.52,46.4,4.7
Zadar,0,HR,1567630348,63,44.12,15.24,73.99,4.7
Surt,0,LY,1567630532,73,31.21,16.59,79.25,15.88
Gurupi,0,BR,1567630346,12,-11.73,-49.07,95.45,5.3
Senneterre,75,CA,1567630533,62,48.39,-77.24,59.0,10.29
Ayr,42,AU,1567630453,88,-19.58,147.4,50.0,1.79
Westport,75,US,1567630533,74,41.14,-73.36,86.0,10.29
Pizarro,100,CO,1567630533,79,4.95,-77.37,77.27,7.65
Glasgow,75,GB,1567630483,76,55.86,-4.24,52.0,9.17
Tarauaca,61,BR,1567630533,44,-8.16,-70.77,91.31,2.42
Port Moresby,75,PG,1567630533,83,-9.47,147.16,69.8,3.36
Kudahuvadhoo,88,MV,1567630534,76,2.67,72.89,83.03,10.49
Iberia,97,PE,1567630534,72,-11.41,-69.49,79.61,8.93
Lorengau,63,PG,1567630534,85,-2.02,147.27,79.25,9.42
Camacha,40,PT,1567630444,78,33.08,-16.33,73.4,10.29
Huejuquilla el Alto,100,MX,1567630534,40,22.63,-103.9,80.87,2.89
Mozarlandia,0,BR,1567630420,14,-14.74,-50.57,95.81,2.15
Richards Bay,46,ZA,1567630459,76,-28.77,32.06,69.71,14.9
Laguna,40,BZ,1567630428,70,16.17,-88.94,91.4,6.93
Chapais,90,CA,1567630472,81,49.78,-74.86,51.8,9.17
Almaznyy,40,RU,1567630464,41,48.03,40.04,75.2,13.42
Mattru,100,SL,1567630534,96,7.62,-11.83,74.75,3.44
Ulkan,100,RU,1567630535,93,57.24,107.32,47.57,2.08
Airai,34,TL,1567630465,81,-8.93,125.41,65.93,4.25
Sidi Ali,0,DZ,1567630535,74,36.1,0.42,76.55,10.4
Dinar,75,TR,1567630535,68,38.07,30.16,70.0,8.05
Jetalsar,100,IN,1567630535,10,21.73,70.57,82.0,10.09
Lagoa,0,PT,1567630535,83,37.14,-8.45,77.0,6.93
Pirgos,0,GR,1567630535,65,35.12,25.72,77.0,4.7
San Quintin,100,PH,1567630479,91,17.54,120.52,75.29,6.55
Abu Dhabi,22,AE,1567630372,79,24.47,54.37,91.4,3.36
Nioro,84,GM,1567630536,70,13.79,-15.05,83.93,10.51
Coahuayana,1,MX,1567630449,62,18.62,-100.35,86.99,2.51
Faranah,100,GN,1567630536,98,10.04,-10.74,70.43,3.22
Lazarev,100,RU,1567630536,89,52.23,141.51,61.43,14.47
Carmo do Rio Claro,56,BR,1567630493,34,-20.97,-46.12,78.35,1.07
Mojo,75,ET,1567630536,87,8.59,39.12,60.8,2.24
Midyat,0,TR,1567630537,16,37.42,41.36,75.2,10.29
Verkhnyaya Inta,0,RU,1567630537,83,65.99,60.32,48.11,7.63
Honiara,40,SB,1567630537,94,-9.43,159.96,73.4,3.36
San Ramon,40,NI,1567630443,54,12.92,-85.84,80.6,4.7
Fortuna,20,US,1567630537,72,40.6,-124.16,90.0,14.99
Carlibaba,23,RO,1567630537,94,47.58,25.13,45.41,3.76
Tabuk,100,PH,1567630538,98,17.41,121.44,63.95,2.95
Mar del Plata,0,AR,1567630458,38,-46.43,-67.52,38.93,6.26
Dali,28,CN,1567630538,70,34.79,109.94,67.37,2.51
Namie,99,JP,1567630538,60,37.52,140.86,68.0,1.63
Salalah,75,OM,1567630538,88,17.01,54.1,80.6,5.82
Cap Malheureux,75,MU,1567630538,88,-19.98,57.61,72.0,16.08
Xai-Xai,0,MZ,1567630538,44,-25.04,33.64,68.09,7.38
Pokhara,99,NP,1567630486,89,28.21,83.99,56.21,4.74
Itoman,75,JP,1567630468,88,26.12,127.67,82.4,16.11
Faya,0,SA,1567630431,28,18.39,42.45,77.0,4.7
Cherskiy,0,RU,1567630455,45,68.75,161.3,47.39,5.06
Naryan-Mar,13,RU,1567630539,90,67.67,53.09,55.13,9.08
Marzuq,1,YE,1567630539,16,14.4,46.47,82.31,3.4
Pitkyaranta,0,RU,1567630539,81,61.57,31.48,60.35,14.12
Yar-Sale,46,RU,1567630539,94,66.83,70.83,46.67,6.73
Kalabo,0,ZM,1567630539,27,-15.0,22.67,70.97,6.2
Kamsack,75,CA,1567630539,53,51.56,-101.9,73.4,13.87
Calabozo,100,VE,1567630540,82,8.92,-67.43,85.37,4.0
Anadyr,90,RU,1567630540,93,64.73,177.51,44.6,4.47
Makat,65,KZ,1567630540,47,47.65,53.35,61.43,7.96
Poronaysk,95,RU,1567630540,70,49.22,143.1,59.09,3.67
Plettenberg Bay,97,ZA,1567630540,89,-34.05,23.37,54.05,2.19
Pahrump,1,US,1567630416,14,36.21,-115.98,108.0,5.82
Outlook,0,CA,1567630541,33,51.48,-107.04,81.23,14.29
Beringovskiy,100,RU,1567630466,90,63.05,179.32,44.33,3.6
Hofn,2,IS,1567630454,77,64.25,-15.21,33.17,8.72
Syracuse,75,US,1567630265,77,43.05,-76.15,73.4,6.93
Monrovia,75,LR,1567630541,94,6.33,-10.8,77.0,9.1
Kirn,90,DE,1567630541,87,49.79,7.46,69.01,6.93
Kushiro,100,JP,1567630541,91,43.11,144.15,57.47,1.52
Upata,100,VE,1567630541,72,8.02,-62.41,87.01,3.0
Halifax,90,CA,1567630196,88,44.65,-63.58,71.6,10.29
Owensboro,1,US,1567630542,58,37.77,-87.11,91.4,8.05
Belmonte,1,PT,1567630542,64,40.36,-7.35,82.0,1.83
Kruisfontein,100,ZA,1567630479,90,-34.0,24.73,54.05,3.33
Tyukhtet,20,RU,1567630542,95,56.54,89.31,42.71,3.02
Cacaopera,100,SV,1567630542,58,13.77,-88.08,87.17,2.93
Mount Isa,9,AU,1567630542,56,-20.73,139.49,53.6,4.7
Goundam,25,ML,1567630543,31,16.42,-3.66,96.53,4.99
Calbuco,0,CL,1567630281,26,-41.77,-73.13,57.2,10.29
Zabaykalsk,100,CN,1567630543,94,49.64,117.33,58.73,4.47
Mwanza,22,TZ,1567630543,63,-2.52,32.9,72.95,3.51
Matam,94,SN,1567630543,47,15.66,-13.26,91.31,14.16
Soyaux,90,FR,1567630543,88,45.64,0.19,66.0,8.05
Derzhavinsk,100,KZ,1567630543,68,51.1,66.31,52.79,13.13
Do Gonbadan,0,IR,1567630544,12,30.36,50.8,87.8,2.24
Iquitos,75,PE,1567630293,94,-3.75,-73.25,71.6,11.41
Ikwiriri,15,TZ,1567630544,90,-7.96,38.99,71.33,2.89
Panguna,99,PG,1567630544,83,-6.32,155.48,79.61,23.64
